car_name,model_year,km,transmission,fuel,color,no_doors,engine_capacity,drive_type,no_cylinders,Accident_history,price
Used Suzuki Swift 2022,2022,"4,000KM",Automatic,N/A,Red,N/A,N/A,"
            Drive
          ",4,N/A,"62,000"
Used Toyota Land Cruiser 2018,2018,"71,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",8,N/A,"200,000"
Used Ford Explorer  3.5L V6 Sport EcoBoost 2018,2018,10KM,Automatic,Petrol,Black,5,3497,"
            All Wheel Drive
          ",6,Perfect inside out,"25,000"
Used Hyundai Grand Santa Fe 2018,2018,"48,000KM",Automatic,Diesel,White,4,2500,"
            All Wheel Drive
          ",6,Perfect inside out,"42,000"
Used Toyota Corolla 2018,2018,221KM,Automatic,Petrol,White,4,1600,"
            Front Wheel Drive
          ",4,Perfect inside out,"33,000"
Used Hyundai Accent 1.4L 2013,2013,"187,000KM",Automatic,Petrol,Black,4,1400,"
            Front Wheel Drive
          ",4,Perfect inside out,"21,000"
Used Hyundai Tucson 2016,2016,"76,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Toyota Hilux 2012,2012,"300,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"21,000"
Used Hyundai Elantra 2012,2012,"360,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"13,000"
Used Hyundai Elantra 2018,2018,"220,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"26,000"
Used Toyota Corolla 2009,2009,"320,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"10,000"
Used Nissan Patrol 2019,2019,"115,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"155,000"
Used Toyota Corolla 2012,2012,"234,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"15,000"
Used Hyundai Sonata 2010,2010,"343,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"14,000"
Used Hyundai Elantra 2019,2019,"76,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"30,000"
Used Audi S3 2011,2011,"76,000KM",N/A,N/A,Red,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Toyota Corolla 2015,2015,"114,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"23,000"
Used Toyota Camry 2016,2016,"120,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Hyundai Elantra 2016,2016,"106,000KM",N/A,N/A,Brown,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Toyota Corolla 2007,2007,"268,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"15,000"
Used Toyota Camry 2004,2004,"50,000KM",N/A,N/A,Blue,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"8,000"
Used Toyota Camry 2007,2007,"188,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"8,000"
Used Hyundai Tucson 2016,2016,"154,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"17,000"
Used Toyota Corolla 2007,2007,"98,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"8,000"
Used Toyota Yaris 2013,2013,"253,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"10,000"
Used Toyota Yaris 2019,2019,"189,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"30,000"
Used Toyota Camry 2010,2010,"240,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"12,000"
Used Toyota Corolla 2013,2013,"260,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"17,000"
Used Hyundai Accent 2013,2013,"193,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"12,000"
Used Toyota Corolla 2014,2014,"230,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"18,000"
Used Hyundai Accent 2014,2014,"220,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"15,000"
Used Toyota Camry 2019,2019,"27,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"50,000"
Used Toyota Land Cruiser Prado 2009,2009,"320,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"30,000"
Used Toyota Corolla 2006,2006,"140,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"15,000"
Used Toyota Yaris 2015,2015,"171,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"24,000"
Used Hyundai Sonata 2018,2018,"164,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"37,000"
Used Toyota Camry 2010,2010,"200,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"17,000"
Used Hyundai Accent 2008,2008,"300,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"10,000"
Used Toyota Hilux 2017,2017,"250,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Toyota Camry 2017,2017,"100,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"40,000"
Used Hyundai Tucson 2022,2022,"5,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"123,000"
Used Toyota Camry 2.4 Hybrid XLE 2006,2006,"210,000KM",Manual,Petrol,White,4,2000,"
            Front Wheel Drive
          ",4,Perfect inside out,"7,000"
Used Hyundai Elantra 2012,2012,"124,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"16,000"
Used Toyota Camry 2008,2008,"220,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"10,000"
Used Hyundai Elantra 2005,2005,"250,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"8,000"
Used Kia Sportage 2016,2016,"120,000KM",N/A,N/A,Red,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Toyota Camry 2004,2004,"100,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"10,000"
Used Hyundai Accent 2012,2012,"100,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"19,000"
Used Toyota Corolla 2014,2014,"170,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"18,000"
