car_make,car_model,model_year,km,transmission,fuel,color,no_doors,engine_capacity,drive_type,no_cylinders,Accident_history,price
Toyota,Corolla,2003,300000,,,White,,,            Drive          ,,Perfect inside out,4000
Toyota,Corolla,2006,150000,,,Blue,,,            Drive          ,,Perfect inside out,8000
Hyundai,H1,2014,280000,,,White,,,            Drive          ,,Perfect inside out,20000
Toyota,Corolla,2009,460000,CVT,Petrol,Blue,,1600.0,            Front Wheel Drive          ,4,Perfect inside out,12000
Nissan,Sentra,2016,147000,Automatic,Petrol,Black,4.0,1798.0,            Front Wheel Drive          ,4,Perfect inside out,35000
Hyundai,Elantra,2012,320000,Automatic,Petrol,Black,4.0,1999.0,            Front Wheel Drive          ,4,Minor wear and tear,22000
Chrysler,300C,2013,111000,Automatic,Petrol,Gray,4.0,6400.0,            Rear Wheel Drive          ,8,Perfect inside out,142000
Mitsubishi,4th,2016,205000,Automatic,Petrol,White,5.0,3.0,            All Wheel Drive          ,6,Perfect inside out,56000
Hyundai,Accent,2014,140000,Automatic,Petrol,White,4.0,1600.0,            Front Wheel Drive          ,4,Perfect inside out,15000
Toyota,Corolla,2010,120000,Automatic,Petrol,White,4.0,1600.0,            Front Wheel Drive          ,4,Perfect inside out,13000
Toyota,Camry,2017,118000,Automatic,Petrol,White,4.0,1600.0,            Front Wheel Drive          ,4,Perfect inside out,30000
Toyota,Camry,2010,148000,Automatic,Petrol,White,4.0,2487.0,            Front Wheel Drive          ,4,Perfect inside out,17000
Hyundai,Accent,2015,250000,,,White,,,            Drive          ,,Perfect inside out,24000
Toyota,Yaris,2017,181000,,,Blue,,,            Drive          ,,Perfect inside out,23000
Toyota,Hilux,2016,227000,,,White,,,            Drive          ,,Perfect inside out,42000
Toyota,Corolla,2007,66000,,,Silver,,,            Drive          ,,Perfect inside out,85000
Toyota,Corolla,2015,47000,,,White,,,            Drive          ,,Perfect inside out,12000
Hyundai,Sonata,2018,160000,,,Black,,,            Drive          ,,Perfect inside out,40000
Nissan,Sunny,2016,77402,Automatic,Petrol,Gray,4.0,1500.0,            Front Wheel Drive          ,4,Minor wear and tear,30000
Toyota,Corolla,2012,184000,,,White,,,            Drive          ,,Perfect inside out,10000
Toyota,Corolla,2015,110000,,,White,,,            Drive          ,,Perfect inside out,25000
Toyota,Corolla,2018,85000,,,White,,,            Drive          ,,Perfect inside out,30000
Hyundai,Sonata,2018,90000,,,White,,,            Drive          ,,Perfect inside out,32000
Toyota,Sequoia,2009,216000,,,Gold,,,            Drive          ,,Perfect inside out,45000
Hyundai,Accent,2009,402000,,,Blue,,,            Drive          ,,Perfect inside out,11500
Toyota,Corolla,2017,76000,,,Silver,,,            Drive          ,,Perfect inside out,35000
Toyota,Hilux,2016,145000,,,White,,,            Drive          ,,Perfect inside out,35000
Hyundai,Tucson,2018,80000,,,Brown,,,            Drive          ,,Perfect inside out,38000
Toyota,Camry,2008,265000,,,Red,,,            Drive          ,,Perfect inside out,8000
Toyota,Corolla,2009,137000,,,Silver,,,            Drive          ,,Perfect inside out,8000
Kia,Carnival,2012,280000,,,White,,,            Drive          ,,Perfect inside out,20000
Toyota,Corolla,2011,198000,,,White,,,            Drive          ,,Perfect inside out,10000
Toyota,Rav4,2020,66000,CVT,Petrol,Other,5.0,2000.0,            All Wheel Drive          ,4,Perfect inside out,86000
Kia,Optima,2018,10,Automatic,Petrol,White,4.0,1998.0,            Front Wheel Drive          ,4,Perfect inside out,17000
Toyota,Avalon,2020,10,Automatic,Petrol,White,4.0,3456.0,            Front Wheel Drive          ,6,Perfect inside out,30000
Toyota,Camry,2013,90000,,,White,,,            Drive          ,,Perfect inside out,14000
Hyundai,Elantra,2019,80000,,,Silver,,,            Drive          ,,Perfect inside out,30000
Toyota,Corolla,2012,150000,,,Gray,,,            Drive          ,,Perfect inside out,10000
Hyundai,Elantra,2016,80000,,,Silver,,,            Drive          ,,Perfect inside out,20000
Hyundai,Accent,2015,70000,,,White,,,            Drive          ,,Perfect inside out,8000
Honda,Accord,2015,80000,,,Gold,,,            Drive          ,,Perfect inside out,35000
Hyundai,Sonata,2017,70000,,,Black,,,            Drive          ,,Perfect inside out,25000
Toyota,Corolla,2010,108000,,,White,,,            Drive          ,,Perfect inside out,22000
GMC,Yukon,2017,84574,Automatic,Petrol,Black,5.0,5328.0,            Rear Wheel Drive          ,8,Perfect inside out,131550
Chevrolet,Impala,2018,39042,Automatic,Petrol,White,4.0,3564.0,            Front Wheel Drive          ,6,Perfect inside out,77000
GMC,Yukon,2018,42431,Automatic,Petrol,Gray,5.0,5328.0,            Rear Wheel Drive          ,8,Perfect inside out,152250
Mercedes-Benz,450,2018,30366,Automatic,Petrol,White,4.0,3000.0,            Rear Wheel Drive          ,6,Perfect inside out,293700
Mercedes-Benz,450,2018,45006,Automatic,Petrol,Black,4.0,3000.0,            Rear Wheel Drive          ,6,Perfect inside out,290250
Chevrolet,Tahoe,2017,126301,Automatic,Petrol,Black,5.0,5300.0,            Rear Wheel Drive          ,8,Perfect inside out,144200
BMW,7,2018,34355,Automatic,Petrol,White,4.0,1998.0,            Rear Wheel Drive          ,4,Perfect inside out,190000
Chevrolet,Captiva,2022,9800,CVT,Petrol,Black,5.0,1500.0,            Front Wheel Drive          ,4,Perfect inside out,75000
Toyota,Camry,2020,32000,Automatic,,,,,            Drive          ,4,,88000
Chevrolet,Tahoe,2015,127000,Automatic,,,,,            Drive          ,8,,98000
Infiniti,Q50,2017,11000,Automatic,,,,,            Drive          ,6,,135000
Infiniti,Q50,2015,32000,Automatic,,,,,            Drive          ,4,,67000
Lexus,ES,2015,80000,Automatic,,,,,            Drive          ,6,,82000
Chevrolet,Traverse,2019,86000,Automatic,,,,,            Drive          ,6,,95000
Ford,Fusion,2016,178000,Automatic,,,,,            Drive          ,4,,36000
Kia,Cerato,2018,173000,Automatic,,,,,            Drive          ,4,,36000
Haval,H6,2022,21000,Automatic,,,,,            Drive          ,4,,101000
Hyundai,Sonata,2019,207000,Automatic,,,,,            Drive          ,4,,51000
Jaguar,XJ,2013,119000,Automatic,,,,,            Drive          ,6,,45000
Toyota,Land,2015,156000,Automatic,,,,,            Drive          ,8,,110000
Hyundai,Sonata,2019,60000,Automatic,,,,,            Drive          ,4,,75000
Chevrolet,Silverado,2013,340000,Automatic,,,,,            Drive          ,8,,40000
Chevrolet,Cruze,2013,134000,Automatic,,,,,            Drive          ,4,,12000
Ford,Expedition,2018,112000,Automatic,,,,,            Drive          ,6,,124000
Hyundai,Tucson,2017,98000,Automatic,,,,,            Drive          ,4,,54000
Hyundai,Azera,2015,267000,Automatic,,,,,            Drive          ,6,,40000
Changan,CS75,2022,14000,Automatic,,,,,            Drive          ,4,,91500
Toyota,Innova,2014,131000,Automatic,,,,,            Drive          ,4,,41000
Toyota,Innova,2013,181000,Automatic,,,,,            Drive          ,4,,31000
Nissan,Patrol,2016,370000,Manual,,,,,            Drive          ,6,,66000
Land Rover,Rover,2010,288000,Automatic,,,,,            Drive          ,6,,19000
Mazda,CX-9,2018,98000,Automatic,,,,,            Drive          ,4,,105000
Hyundai,Santa,2015,144000,Automatic,,,,,            Drive          ,6,,52000
Lexus,LS-Series,2018,117000,Automatic,,,,,            Drive          ,6,,250000
Nissan,Pathfinder,2015,104000,Automatic,,,,,            Drive          ,6,,50000
Honda,Accord,2018,258000,Automatic,,,,,            Drive          ,4,,79000
Toyota,Hilux,2011,350000,Manual,,,,,            Drive          ,4,,35000
Hyundai,Elantra,2022,12000,Automatic,,,,,            Drive          ,4,,75000
Geely,Emgrand,2018,97000,Automatic,,,,,            Drive          ,4,,42000
Hyundai,Sonata,2018,160000,Automatic,,,,,            Drive          ,4,,64000
Chevrolet,Malibu,2013,318000,Automatic,,,,,            Drive          ,6,,29000
Dodge,Neon,2020,119000,Automatic,,,,,            Drive          ,4,,30000
Hyundai,Tucson,2020,72000,Automatic,,,,,            Drive          ,4,,81500
Ford,Expedition,2013,419000,Automatic,,,,,            Drive          ,8,,30000
Toyota,Fortuner,2013,281000,Automatic,,,,,            Drive          ,4,,42000
Toyota,Corolla,2002,180000,Automatic,Hybrid,Silver,5.0,1798.0,            Front Wheel Drive          ,4,Perfect inside out,8000
Nissan,Armada,2008,129000,Automatic,Petrol,Silver,4.0,5552.0,            All Wheel Drive          ,8,Perfect inside out,30000
Mitsubishi,Rosa,2016,157184,Manual,Petrol,White,4.0,4200.0,            Rear Wheel Drive          ,4,Perfect inside out,72900
Mercedes-Benz,450,2018,58838,Automatic,Petrol,Blue,4.0,3000.0,            Rear Wheel Drive          ,6,Perfect inside out,287950
Toyota,,2022,0,,,White,,,            Drive          ,4,Perfect inside out,185000
